respondent_id_number,number_of_children,age_of_respondent,highest_year_of_school_completed,highest_year_school_completed_father,highest_year_school_completed_mother,highest_year_school_completed_spouse,college_major_1,college_major_2,diploma_ged_or_other,respondents_sex,number_of_brothers_and_sisters,labor_force_status,number_of_hours_worked_last_week,number_of_hours_usually_work_a_week,self_emp_or_works_for_somebody,govt_or_private_employee,occupation_code,marital_status,marital_type,race_of_respondent,born_in_us,should_govt_reduce_income_differences,favor_or_oppose_death_penalty_for_murder,should_marijuana_be_made_legal,rs_religious_preference,specific_denomination,other_protestant_denominations,general_happiness,condition_of_health,is_life_exciting_or_dull,ballot_used_for_interview,parks_and_recreation,mass_transportation,number_of_persons_in_household,total_family_income,respondents_income,region_of_interview,size_of_place_in_1000s,political_party_affiliation,think_of_self_as_liberal_or_conservative,space_exploration_program,improving_protecting_environment,improving_protecting_nations_health,lived_in_us
1,0,43,14,12,12,NA,Communications/speech,NA,High school diploma,Male,4,Temp not working,NA,41,Someone else,Private,Human resources workers,Never married,NA,White,Yes,NA,Favor,NA,Christian,No denomination,NA,Pretty happy,Good,Routine,Ballot a,Too much,About right,5,Refused,Refused,New England,14,Republican,Conservative,Too much,About right,Too little,NA
2,3,74,10,0,8,NA,NA,NA,Ged,Female,4,Retired,NA,NA,Someone else,Private,"Packers and packagers, hand",Separated,NA,White,Yes,No govt action,Oppose,Not legal,Catholic,NA,NA,Very happy,Excellent,Exciting,Ballot c,About right,About right,2,$25000 or more,(Missing),New England,14,Independent,(Missing),NA,NA,NA,NA
3,2,42,16,12,16,14,Electronics,NA,High school diploma,Male,2,Working fulltime,40,NA,Someone else,Private,Computer network architects,Married,Marriage between a man and a woman,White,Yes,3,Favor,Legal,None,NA,NA,Very happy,NA,NA,Ballot b,About right,Too little,4,$25000 or more,$25000 or more,New England,14,Independent,Slghtly conservative,Too little,Too little,Too little,NA
4,2,63,16,16,12,14,Business administration,Computer science,High school diploma,Female,3,Working fulltime,40,NA,Someone else,Private,Diagnostic related technologists and technicians,Married,Marriage between a man and a woman,White,Yes,5,Oppose,Not legal,Protestant,United methodist,NA,Very happy,NA,NA,Ballot b,About right,About right,2,Refused,$25000 or more,New England,14,Independent,Moderate,NA,NA,NA,NA
5,0,71,18,12,12,NA,Business administration,NA,High school diploma,Male,3,Retired,NA,NA,Someone else,Private,Human resources managers,Divorced,NA,Black,Yes,6,Oppose,Not legal,Catholic,NA,NA,Pretty happy,Excellent,Routine,Ballot c,Too little,Too little,2,Refused,(Missing),New England,14,NA,Extrmly conservative,NA,NA,NA,NA
6,2,67,16,12,12,NA,Mathmatics,NA,High school diploma,Female,1,Retired,NA,NA,Someone else,Private,Financial managers,Widowed,NA,White,Yes,NA,Favor,NA,Catholic,NA,NA,Not too happy,Good,Routine,Ballot a,About right,Too little,2,(Missing),(Missing),New England,14,Independent,Slightly liberal,NA,NA,NA,NA
7,6,59,13,NA,6,NA,NA,NA,High school diploma,Female,7,Working fulltime,35,NA,Someone else,Government,"Nursing, psychiatric, and home health aides",Divorced,NA,Black,Yes,5,Favor,Legal,Protestant,Baptist-dk which,NA,Pretty happy,Good,Routine,Ballot c,Too little,About right,2,$15000 - 19999,$15000 - 19999,Middle Atlantic,24,Democrat,Moderate,NA,NA,NA,NA
8,0,43,12,NA,12,NA,NA,NA,High school diploma,Male,2,Working fulltime,89,NA,Someone else,Private,"Shipping, receiving, and traffic clerks",Never married,NA,White,Yes,Govt reduce diff,Favor,Legal,Catholic,NA,NA,Pretty happy,Excellent,Dull,Ballot c,Too little,About right,1,$25000 or more,$25000 or more,Middle Atlantic,24,Republican,Slghtly conservative,Too little,Too little,Too little,NA
9,4,62,8,12,12,NA,NA,NA,NA,Female,4,Working fulltime,40,NA,Self-employed,Private,Childcare workers,Widowed,NA,White,Yes,3,Favor,Legal,None,NA,NA,Not too happy,NA,NA,Ballot b,Too little,Too little,1,$5000 to 5999,$1000 to 2999,Middle Atlantic,24,NA,Moderate,Too much,About right,Too little,NA
10,2,55,12,6,20,11,NA,NA,High school diploma,Male,2,Working fulltime,40,NA,Someone else,Private,Elevator installers and repairers,Married,Marriage between a man and a woman,White,Yes,3,Favor,Legal,Protestant,Other,"Congregationalist, 1st Congreg",Pretty happy,NA,NA,Ballot b,About right,About right,2,$25000 or more,$25000 or more,New England,56,Democrat,(Missing),NA,NA,NA,NA
